"","Date","U.S. All Grades All Formulations Retail Gasoline Prices (Dollars per Gallon)","Consumer Price Index","Unemployment Rate"
"1","Apr-1993",1.078,3.2,7.1
"2","May-1993",1.1,3.2,7.1
"3","Jun-1993",1.097,3,7
"4","Jul-1993",1.078,2.8,6.9
"5","Aug-1993",1.062,2.8,6.8
"6","Sep-1993",1.05,2.8,6.7
"7","Oct-1993",1.092,2.8,6.8
"8","Nov-1993",1.066,2.7,6.6
"9","Dec-1993",1.014,2.8,6.5
"10","Jan-1994",0.998,2.5,6.6
"11","Feb-1994",1.009,2.5,6.6
"12","Mar-1994",1.008,2.7,6.5
"13","Apr-1994",1.027,2.4,6.4
"14","May-1994",1.047,2.3,6.1
"15","Jun-1994",1.078,2.5,6.1
"16","Jul-1994",1.106,2.7,6.1
"17","Aug-1994",1.155,2.9,6
"18","Sep-1994",1.144,3,5.9
"19","Oct-1994",1.114,2.6,5.8
"20","Nov-1994",1.119,2.6,5.6
"21","Dec-1994",1.129,2.6,5.5
"22","Jan-1995",1.13,2.9,5.6
"23","Feb-1995",1.12,2.9,5.4
"24","Mar-1995",1.119,2.8,5.4
"25","Apr-1995",1.157,3.1,5.8
"26","May-1995",1.225,3.1,5.6
"27","Jun-1995",1.239,3,5.6
"28","Jul-1995",1.201,2.8,5.7
"29","Aug-1995",1.17,2.6,5.7
"30","Sep-1995",1.158,2.5,5.6
"31","Oct-1995",1.134,2.7,5.5
"32","Nov-1995",1.109,2.6,5.6
"33","Dec-1995",1.118,2.5,5.6
"34","Jan-1996",1.137,2.8,5.6
"35","Feb-1996",1.136,2.7,5.5
"36","Mar-1996",1.183,2.8,5.5
"37","Apr-1996",1.275,2.8,5.6
"38","May-1996",1.324,2.8,5.6
"39","Jun-1996",1.3,2.8,5.3
"40","Jul-1996",1.272,2.9,5.5
"41","Aug-1996",1.251,2.8,5.1
"42","Sep-1996",1.247,3,5.2
"43","Oct-1996",1.249,3.1,5.2
"44","Nov-1996",1.278,3.3,5.4
"45","Dec-1996",1.282,3.4,5.4
"46","Jan-1997",1.283,3,5.3
"47","Feb-1997",1.276,3,5.2
"48","Mar-1997",1.251,2.8,5.2
"49","Apr-1997",1.244,2.4,5.1
"50","May-1997",1.245,2.2,4.9
"51","Jun-1997",1.242,2.2,5
"52","Jul-1997",1.22,2.2,4.9
"53","Aug-1997",1.268,2.3,4.8
"54","Sep-1997",1.276,2.2,4.9
"55","Oct-1997",1.242,2.1,4.7
"56","Nov-1997",1.216,1.9,4.6
"57","Dec-1997",1.177,1.7,4.7
"58","Jan-1998",1.132,1.6,4.6
"59","Feb-1998",1.096,1.4,4.6
"60","Mar-1998",1.064,1.4,4.7
"61","Apr-1998",1.077,1.4,4.3
"62","May-1998",1.105,1.7,4.4
"63","Jun-1998",1.103,1.6,4.5
"64","Jul-1998",1.094,1.7,4.5
"65","Aug-1998",1.065,1.6,4.5
"66","Sep-1998",1.049,1.4,4.6
"67","Oct-1998",1.059,1.5,4.5
"68","Nov-1998",1.036,1.5,4.4
"69","Dec-1998",0.987,1.6,4.4
"70","Jan-1999",0.98,1.7,4.3
"71","Feb-1999",0.962,1.7,4.4
"72","Mar-1999",1.022,1.7,4.2
"73","Apr-1999",1.171,2.3,4.3
"74","May-1999",1.171,2.1,4.2
"75","Jun-1999",1.154,2,4.3
"76","Jul-1999",1.197,2.1,4.3
"77","Aug-1999",1.26,2.3,4.2
"78","Sep-1999",1.295,2.6,4.2
"79","Oct-1999",1.285,2.6,4.1
"80","Nov-1999",1.292,2.6,4.1
"81","Dec-1999",1.313,2.7,4
"82","Jan-2000",1.329,2.8,4
"83","Feb-2000",1.415,3.2,4.1
"84","Mar-2000",1.556,3.8,4
"85","Apr-2000",1.506,3,3.8
"86","May-2000",1.526,3.1,4
"87","Jun-2000",1.666,3.7,4
"88","Jul-2000",1.591,3.6,4
"89","Aug-2000",1.506,3.4,4.1
"90","Sep-2000",1.588,3.5,3.9
"91","Oct-2000",1.571,3.5,3.9
"92","Nov-2000",1.557,3.4,3.9
"93","Dec-2000",1.483,3.4,3.9
"94","Jan-2001",1.487,3.7,4.2
"95","Feb-2001",1.49,3.5,4.2
"96","Mar-2001",1.45,3,4.3
"97","Apr-2001",1.591,3.2,4.4
"98","May-2001",1.738,3.6,4.3
"99","Jun-2001",1.658,3.2,4.5
"100","Jul-2001",1.466,2.7,4.6
"101","Aug-2001",1.461,2.7,4.9
"102","Sep-2001",1.557,2.6,5
"103","Oct-2001",1.357,2.1,5.3
"104","Nov-2001",1.212,1.9,5.5
"105","Dec-2001",1.127,1.6,5.7
"106","Jan-2002",1.148,1.2,5.7
"107","Feb-2002",1.155,1.1,5.7
"108","Mar-2002",1.289,1.4,5.7
"109","Apr-2002",1.439,1.6,5.9
"110","May-2002",1.434,1.2,5.8
"111","Jun-2002",1.424,1.1,5.8
"112","Jul-2002",1.438,1.5,5.8
"113","Aug-2002",1.438,1.7,5.7
"114","Sep-2002",1.441,1.5,5.7
"115","Oct-2002",1.486,2,5.7
"116","Nov-2002",1.461,2.3,5.9
"117","Dec-2002",1.429,2.5,6
"118","Jan-2003",1.5,2.8,5.8
"119","Feb-2003",1.655,3.1,5.9
"120","Mar-2003",1.734,3,5.9
"121","Apr-2003",1.633,2.2,6
"122","May-2003",1.539,1.9,6.1
"123","Jun-2003",1.533,1.9,6.3
"124","Jul-2003",1.554,2.1,6.2
"125","Aug-2003",1.661,2.2,6.1
"126","Sep-2003",1.721,2.4,6.1
"127","Oct-2003",1.606,2,6
"128","Nov-2003",1.555,1.9,5.8
"129","Dec-2003",1.522,2,5.7
"130","Jan-2004",1.614,2,5.7
"131","Feb-2004",1.69,1.7,5.6
"132","Mar-2004",1.778,1.7,5.8
"133","Apr-2004",1.839,2.3,5.6
"134","May-2004",2.023,2.9,5.6
"135","Jun-2004",2.013,3.2,5.6
"136","Jul-2004",1.954,2.9,5.5
"137","Aug-2004",1.92,2.5,5.4
"138","Sep-2004",1.912,2.5,5.4
"139","Oct-2004",2.042,3.2,5.5
"140","Nov-2004",2.023,3.6,5.4
"141","Dec-2004",1.887,3.3,5.4
"142","Jan-2005",1.875,2.8,5.3
"143","Feb-2005",1.953,3.1,5.4
"144","Mar-2005",2.12,3.2,5.2
"145","Apr-2005",2.285,3.4,5.2
"146","May-2005",2.205,2.9,5.1
"147","Jun-2005",2.198,2.5,5
"148","Jul-2005",2.333,3.1,5
"149","Aug-2005",2.529,3.6,4.9
"150","Sep-2005",2.951,4.7,5
"151","Oct-2005",2.765,4.4,5
"152","Nov-2005",2.303,3.3,5
"153","Dec-2005",2.229,3.3,4.9
"154","Jan-2006",2.36,4,4.7
"155","Feb-2006",2.326,3.6,4.8
"156","Mar-2006",2.468,3.4,4.7
"157","Apr-2006",2.787,3.6,4.7
"158","May-2006",2.953,4,4.6
"159","Jun-2006",2.93,4.2,4.6
"160","Jul-2006",3.025,4.1,4.7
"161","Aug-2006",2.999,3.9,4.7
"162","Sep-2006",2.606,2,4.5
"163","Oct-2006",2.293,1.4,4.4
"164","Nov-2006",2.275,2,4.5
"165","Dec-2006",2.359,2.5,4.4
"166","Jan-2007",2.289,2.1,4.6
"167","Feb-2007",2.323,2.4,4.5
"168","Mar-2007",2.609,2.8,4.4
"169","Apr-2007",2.891,2.6,4.5
"170","May-2007",3.187,2.7,4.4
"171","Jun-2007",3.102,2.7,4.6
"172","Jul-2007",3.011,2.3,4.7
"173","Aug-2007",2.834,1.9,4.6
"174","Sep-2007",2.849,2.8,4.7
"175","Oct-2007",2.853,3.6,4.7
"176","Nov-2007",3.128,4.4,4.7
"177","Dec-2007",3.07,4.1,5
"178","Jan-2008",3.095,4.3,5
"179","Feb-2008",3.078,4.1,4.9
"180","Mar-2008",3.293,4,5.1
"181","Apr-2008",3.507,3.9,5
"182","May-2008",3.815,4.1,5.4
"183","Jun-2008",4.105,4.9,5.6
"184","Jul-2008",4.114,5.5,5.8
"185","Aug-2008",3.833,5.3,6.1
"186","Sep-2008",3.756,5,6.1
"187","Oct-2008",3.112,3.7,6.5
"188","Nov-2008",2.208,1.1,6.8
"189","Dec-2008",1.745,0,7.3
"190","Jan-2009",1.84,-0.1,7.8
"191","Feb-2009",1.975,0,8.3
"192","Mar-2009",2.011,-0.4,8.7
"193","Apr-2009",2.102,-0.6,9
"194","May-2009",2.316,-1,9.4
"195","Jun-2009",2.681,-1.2,9.5
"196","Jul-2009",2.582,-2,9.5
"197","Aug-2009",2.67,-1.5,9.6
"198","Sep-2009",2.609,-1.4,9.8
"199","Oct-2009",2.605,-0.2,10
"200","Nov-2009",2.706,1.9,9.9
"201","Dec-2009",2.663,2.8,9.9
"202","Jan-2010",2.769,2.6,9.8
"203","Feb-2010",2.699,2.2,9.8
"204","Mar-2010",2.824,2.3,9.9
"205","Apr-2010",2.9,2.2,9.9
"206","May-2010",2.89,2,9.6
"207","Jun-2010",2.785,1.1,9.4
"208","Jul-2010",2.782,1.3,9.4
"209","Aug-2010",2.783,1.2,9.5
"210","Sep-2010",2.757,1.1,9.5
"211","Oct-2010",2.853,1.2,9.4
"212","Nov-2010",2.913,1.1,9.8
"213","Dec-2010",3.048,1.4,9.3
"214","Jan-2011",3.148,1.7,9.1
"215","Feb-2011",3.264,2.1,9
"216","Mar-2011",3.615,2.6,9
"217","Apr-2011",3.852,3.1,9.1
"218","May-2011",3.96,3.5,9
"219","Jun-2011",3.735,3.5,9.1
"220","Jul-2011",3.705,3.6,9
"221","Aug-2011",3.696,3.8,9
"222","Sep-2011",3.667,3.8,9
"223","Oct-2011",3.506,3.5,8.8
"224","Nov-2011",3.443,3.5,8.6
"225","Dec-2011",3.326,3.1,8.5
"226","Jan-2012",3.44,3,8.3
"227","Feb-2012",3.64,2.9,8.3
"228","Mar-2012",3.907,2.6,8.2
"229","Apr-2012",3.958,2.3,8.2
"230","May-2012",3.791,1.7,8.2
"231","Jun-2012",3.596,1.7,8.2
"232","Jul-2012",3.498,1.4,8.2
"233","Aug-2012",3.78,1.7,8.1
"234","Sep-2012",3.91,1.9,7.8
"235","Oct-2012",3.812,2.2,7.8
"236","Nov-2012",3.521,1.8,7.7
"237","Dec-2012",3.381,1.8,7.9
"238","Jan-2013",3.391,1.7,8
"239","Feb-2013",3.736,2,7.7
"240","Mar-2013",3.779,1.5,7.5
"241","Apr-2013",3.638,1.1,7.6
"242","May-2013",3.675,1.4,7.5
"243","Jun-2013",3.689,1.7,7.5
"244","Jul-2013",3.661,1.9,7.3
"245","Aug-2013",3.645,1.5,7.2
"246","Sep-2013",3.604,1.1,7.2
"247","Oct-2013",3.42,0.9,7.2
"248","Nov-2013",3.322,1.2,6.9
"249","Dec-2013",3.357,1.5,6.7
"250","Jan-2014",3.392,1.6,6.6
"251","Feb-2014",3.434,1.1,6.7
"252","Mar-2014",3.606,1.6,6.7
"253","Apr-2014",3.735,2,6.2
"254","May-2014",3.75,2.2,6.3
"255","Jun-2014",3.766,2.1,6.1
"256","Jul-2014",3.688,2,6.2
"257","Aug-2014",3.565,1.7,6.1
"258","Sep-2014",3.484,1.7,5.9
"259","Oct-2014",3.255,1.6,5.7
"260","Nov-2014",2.997,1.2,5.8
"261","Dec-2014",2.632,0.7,5.6
"262","Jan-2015",2.208,-0.2,5.7
"263","Feb-2015",2.301,-0.1,5.5
"264","Mar-2015",2.546,0,5.4
"265","Apr-2015",2.555,-0.1,5.4
"266","May-2015",2.802,0,5.6
"267","Jun-2015",2.885,0.2,5.3
"268","Jul-2015",2.88,0.2,5.2
"269","Aug-2015",2.726,0.2,5.1
"270","Sep-2015",2.462,0,5
"271","Oct-2015",2.387,0.1,5
"272","Nov-2015",2.26,0.4,5.1
"273","Dec-2015",2.144,0.6,5
"274","Jan-2016",2.057,1.2,4.8
"275","Feb-2016",1.872,0.8,4.9
"276","Mar-2016",2.071,0.9,5
"277","Apr-2016",2.216,1.2,5.1
"278","May-2016",2.371,1.1,4.8
"279","Jun-2016",2.467,1.1,4.9
"280","Jul-2016",2.345,0.9,4.8
"281","Aug-2016",2.284,1.1,4.9
"282","Sep-2016",2.327,1.5,5
"283","Oct-2016",2.359,1.7,4.9
"284","Nov-2016",2.295,1.7,4.7
"285","Dec-2016",2.366,2.1,4.7
"286","Jan-2017",2.458,2.5,4.7
"287","Feb-2017",2.416,2.8,4.6
"288","Mar-2017",2.437,2.4,4.4
"289","Apr-2017",2.528,2.2,4.4
"290","May-2017",2.503,1.9,4.4
"291","Jun-2017",2.46,1.6,4.3
"292","Jul-2017",2.414,1.7,4.3
"293","Aug-2017",2.494,1.9,4.4
"294","Sep-2017",2.761,2.2,4.3
"295","Oct-2017",2.621,2,4.2
"296","Nov-2017",2.678,2.2,4.2
"297","Dec-2017",2.594,2.1,4.1
"298","Jan-2018",2.671,2.2,4
"299","Feb-2018",2.705,2.3,4.1
"300","Mar-2018",2.709,2.3,4
"301","Apr-2018",2.873,2.5,4
"302","May-2018",2.987,2.8,3.8
"303","Jun-2018",2.97,2.8,4
"304","Jul-2018",2.928,2.9,3.8
"305","Aug-2018",2.914,2.6,3.8
"306","Sep-2018",2.915,2.3,3.7
"307","Oct-2018",2.943,2.5,3.8
"308","Nov-2018",2.736,2.1,3.8
"309","Dec-2018",2.457,2,3.9
